Date,Open,High,Low,Close,Adj Close,Volume
1997-05-12,0.121875,0.125000,0.085417,0.086458,0.086458,1737120000
1997-05-19,0.088021,0.088542,0.065625,0.075000,0.075000,1162824000
1997-05-26,0.075521,0.082292,0.072917,0.075000,0.075000,386784000
1997-06-02,0.075521,0.085417,0.068750,0.082813,0.082813,366696000
1997-06-09,0.082813,0.085417,0.076563,0.079167,0.079167,226488000
1997-06-16,0.080208,0.080208,0.074740,0.076302,0.076302,249504000
1997-06-23,0.077083,0.077083,0.073958,0.074479,0.074479,165648000
1997-06-30,0.075521,0.095833,0.073958,0.095573,0.095573,409968000
1997-07-07,0.091667,0.128646,0.091667,0.114583,0.114583,1028304000
1997-07-14,0.116146,0.124740,0.105729,0.107813,0.107813,417048000
1997-07-21,0.108854,0.116667,0.103125,0.111458,0.111458,144696000
1997-07-28,0.111458,0.125260,0.110938,0.120833,0.120833,298968000
1997-08-04,0.118750,0.120573,0.105208,0.114583,0.114583,223848000
1997-08-11,0.114583,0.116667,0.096875,0.105729,0.105729,100800000
1997-08-18,0.102604,0.110417,0.098438,0.106250,0.106250,102480000
1997-08-25,0.105208,0.119792,0.105208,0.116927,0.116927,139248000
1997-09-01,0.117188,0.133333,0.115625,0.125000,0.125000,159048000
1997-09-08,0.126563,0.184896,0.125000,0.184375,0.184375,521640000
1997-09-15,0.183333,0.204167,0.152604,0.197396,0.197396,513624000
1997-09-22,0.200000,0.240625,0.197396,0.208333,0.208333,810408000
1997-09-29,0.207292,0.225000,0.190104,0.200781,0.200781,313320000
1997-10-06,0.200000,0.209375,0.183333,0.195052,0.195052,286296000
1997-10-13,0.196354,0.205208,0.176042,0.181250,0.181250,214656000
1997-10-20,0.183854,0.253125,0.183333,0.251302,0.251302,747312000
1997-10-27,0.240104,0.275000,0.193750,0.254167,0.254167,694680000
1997-11-03,0.260938,0.260938,0.219271,0.223958,0.223958,259968000
1997-11-10,0.225000,0.228125,0.183333,0.208333,0.208333,518400000
1997-11-17,0.211458,0.230208,0.210938,0.224479,0.224479,406416000
1997-11-24,0.218750,0.220833,0.202083,0.206250,0.206250,171168000
1997-12-01,0.211979,0.229688,0.206771,0.229688,0.229688,212712000
1997-12-08,0.227083,0.241667,0.219792,0.227083,0.227083,304608000
1997-12-15,0.229167,0.233333,0.208333,0.225000,0.225000,349584000
1997-12-22,0.225000,0.239063,0.221615,0.226042,0.226042,167064000
1997-12-29,0.229167,0.252083,0.226563,0.247917,0.247917,298896000
1998-01-05,0.244271,0.246875,0.211458,0.213021,0.213021,462984000
1998-01-12,0.208333,0.250521,0.207292,0.239583,0.239583,636120000
1998-01-19,0.241146,0.267188,0.240625,0.246875,0.246875,655920000
1998-01-26,0.248958,0.253125,0.231250,0.245833,0.245833,453360000
1998-02-02,0.247396,0.262500,0.243750,0.245313,0.245313,410640000
1998-02-09,0.245833,0.273177,0.238542,0.259375,0.259375,657072000
1998-02-16,0.260938,0.264583,0.252604,0.263542,0.263542,249744000
1998-02-23,0.264583,0.331771,0.260417,0.320833,0.320833,1294968000
1998-03-02,0.316146,0.325781,0.291667,0.319792,0.319792,883512000
1998-03-09,0.320313,0.367708,0.319792,0.327865,0.327865,1529544000
1998-03-16,0.331510,0.364583,0.324479,0.350000,0.350000,772008000
1998-03-23,0.348177,0.363021,0.331250,0.354167,0.354167,709992000
1998-03-30,0.357813,0.403125,0.348958,0.387500,0.387500,1097088000
1998-04-06,0.392708,0.400000,0.353125,0.396875,0.396875,1000152000
1998-04-13,0.395313,0.416667,0.383333,0.395313,0.395313,1235520000
1998-04-20,0.397396,0.414583,0.335417,0.353646,0.353646,1153488000
1998-04-27,0.347396,0.414583,0.321354,0.393750,0.393750,3038592000
1998-05-04,0.395833,0.399479,0.367708,0.384896,0.384896,797064000
1998-05-11,0.387240,0.394271,0.360417,0.373438,0.373438,1003632000
1998-05-18,0.375000,0.381250,0.356250,0.358333,0.358333,467112000
1998-05-25,0.358594,0.370833,0.332292,0.367188,0.367188,1043448000
1998-06-01,0.366667,0.377083,0.343750,0.368750,0.368750,624984000
1998-06-08,0.365104,0.529167,0.362500,0.508333,0.508333,2133828000
1998-06-15,0.495833,0.687500,0.492708,0.631771,0.631771,3629052000
1998-06-22,0.622917,0.872917,0.602083,0.785417,0.785417,4362012000
1998-06-29,0.789583,1.045833,0.789583,1.033333,1.033333,2538384000
1998-07-06,1.061458,1.197917,0.817708,0.829167,0.829167,4138440000
1998-07-13,0.804167,1.004167,0.785417,0.998438,0.998438,1880832000
1998-07-20,1.009375,1.225000,0.975000,1.035417,1.035417,3360240000
1998-07-27,0.992708,1.061458,0.879167,0.923958,0.923958,2288736000
1998-08-03,0.914583,0.990625,0.833333,0.966667,0.966667,2121504000
1998-08-10,0.975000,1.125000,0.958333,1.022917,1.022917,2217096000
1998-08-17,1.006250,1.114583,0.987500,1.080729,1.080729,1658448000
1998-08-24,1.085417,1.145833,0.860417,0.882422,0.882422,1995096000
1998-08-31,0.878646,0.896875,0.541667,0.718750,0.718750,3981264000
1998-09-07,0.783333,0.789583,0.612500,0.633854,0.633854,1908300000
1998-09-14,0.669792,0.716146,0.586458,0.664063,0.664063,2612148000
1998-09-21,0.633333,0.973958,0.633333,0.910417,0.910417,3747588000
1998-09-28,0.969792,1.000000,0.833333,0.918750,0.918750,3505176000
1998-10-05,0.907292,0.935417,0.666667,0.759896,0.759896,2932272000
1998-10-12,0.809375,0.849479,0.747917,0.828646,0.828646,1729380000
1998-10-19,0.825000,0.985938,0.825000,0.967708,0.967708,1775736000
1998-10-26,0.992708,1.081771,0.952083,1.053646,1.053646,2273748000
1998-11-02,1.067708,1.108854,1.033333,1.038021,1.038021,2077836000
1998-11-09,1.015625,1.166667,1.006250,1.064583,1.064583,1871964000
1998-11-16,1.070833,1.514583,1.029167,1.505208,1.505208,4759620000
1998-11-23,1.590625,1.942708,1.550521,1.805208,1.805208,3731328000
1998-11-30,1.830208,1.835417,1.516667,1.570833,1.570833,3012996000
1998-12-07,1.608333,1.869271,1.542708,1.858333,1.858333,2873196000
1998-12-14,1.842708,2.514583,1.816667,2.389063,2.389063,5383008000
1998-12-21,2.529167,2.750000,2.500000,2.706771,2.706771,1702440000
1998-12-28,2.758333,3.015625,2.532292,2.677083,2.677083,2107764000
1999-01-04,2.730729,4.978125,2.662500,4.006250,4.006250,5045576000
1999-01-11,4.600000,4.625000,3.125000,3.509375,3.509375,2685752000
1999-01-18,3.762500,3.762500,2.314063,3.075000,3.075000,2655092000
1999-01-25,3.037500,3.493750,2.750000,2.923438,2.923438,2540556000
1999-02-01,2.943750,3.168750,2.712500,2.896875,2.896875,1296724000
1999-02-08,2.859375,2.878125,2.375000,2.612500,2.612500,1203752000
1999-02-15,2.671875,2.712500,2.106250,2.546875,2.546875,1318584000
1999-02-22,2.543750,3.250000,2.450000,3.203125,3.203125,2543860000
1999-03-01,3.175000,3.401563,2.896875,3.037500,3.037500,1631292000
1999-03-08,3.035938,3.568750,2.981250,3.332813,3.332813,1329140000
1999-03-15,3.325000,3.576563,3.206250,3.376563,3.376563,908960000
1999-03-22,3.329688,3.693750,2.850000,3.476563,3.476563,1407616000
1999-03-29,3.750000,4.503125,3.700000,4.275000,4.275000,1574656000
1999-04-05,4.315625,4.893750,4.150000,4.571875,4.571875,1238840000
1999-04-12,4.403125,4.800000,3.775000,4.750000,4.750000,1494388000
1999-04-19,4.725000,5.412500,3.837500,5.253125,5.253125,2074236000
